timestamp,angle,raw_distance,filtered_distance,is_gap,confidence,baseline_distance,threshold,anomaly_score
2024-11-22 10:17:42.282186,97.0,31.0,30.9,False,0.997,31.4,15.0,-0.703
2024-11-22 10:17:42.536980,96.0,34.0,33.9,False,0.992,31.4,15.0,-0.703
2024-11-22 10:17:42.868532,95.0,31.0,30.9,False,0.798,31.4,34.0,-0.703
2024-11-22 10:17:43.178185,94.0,31.0,30.9,False,0.803,31.4,33.8,-0.703
2024-11-22 10:17:43.421556,93.0,31.0,30.9,False,0.810,31.4,33.6,-0.703
2024-11-22 10:17:43.639693,92.0,31.0,30.9,False,0.816,31.4,33.4,-0.703
2024-11-22 10:17:43.840855,91.0,32.0,31.9,False,0.816,31.4,33.3,-0.703
2024-11-22 10:17:44.040887,90.0,32.0,32.0,False,0.909,31.4,33.1,-0.703
2024-11-22 10:17:44.240879,89.0,32.0,31.9,False,0.896,31.4,33.0,-0.703
2024-11-22 10:17:44.439024,88.0,31.0,30.9,False,0.895,31.4,33.0,-0.703
2024-11-22 10:17:44.658234,87.0,31.0,30.9,False,0.895,31.4,33.0,-0.703
2024-11-22 10:17:44.856179,86.0,31.0,30.9,False,0.895,31.4,32.0,-0.703
2024-11-22 10:17:45.057371,85.0,31.0,30.9,False,0.895,31.4,32.0,-0.703
2024-11-22 10:17:45.255152,84.0,31.0,30.9,False,0.909,31.4,32.0,-0.703
2024-11-22 10:17:45.457411,83.0,31.0,30.9,False,0.998,31.4,32.0,-0.703
2024-11-22 10:17:45.641177,82.0,31.0,30.9,False,0.998,31.4,32.0,-0.703
2024-11-22 10:17:45.840778,81.0,31.0,30.9,False,0.998,31.4,31.9,-0.703
2024-11-22 10:17:46.039671,80.0,31.0,30.9,False,0.998,31.4,31.8,-0.703
2024-11-22 10:17:46.305120,79.0,31.0,30.9,False,0.998,31.4,31.3,-0.703
2024-11-22 10:17:46.507671,78.0,31.0,30.9,False,0.998,31.4,31.3,-0.703
2024-11-22 10:17:46.707531,77.0,30.0,29.9,False,0.995,31.4,31.6,-0.703
2024-11-22 10:17:46.931665,76.0,30.0,29.9,False,0.899,31.4,31.8,-0.703
2024-11-22 10:17:47.123431,75.0,30.0,29.9,False,0.885,31.4,31.9,-0.703
2024-11-22 10:17:47.324541,76.0,30.0,30.1,False,0.886,31.4,31.9,-0.703
2024-11-22 10:17:47.523509,77.0,30.0,30.1,False,0.899,31.4,31.5,-0.703
2024-11-22 10:17:47.724236,78.0,30.0,30.3,False,0.985,31.4,31.1,-0.703
2024-11-22 10:17:47.923428,79.0,32.0,31.9,False,0.979,31.4,31.5,-0.703
2024-11-22 10:17:48.108046,80.0,30.0,30.3,False,0.844,31.4,31.5,-0.703
2024-11-22 10:17:48.307006,81.0,32.0,31.9,False,0.844,31.4,31.8,-0.703
2024-11-22 10:17:48.507534,82.0,32.0,31.9,False,0.827,31.4,32.0,-0.703
2024-11-22 10:17:48.689661,83.0,32.0,31.9,False,0.826,31.4,32.2,-0.703
2024-11-22 10:17:48.890390,84.0,31.0,31.1,False,0.843,31.4,32.5,-0.703
2024-11-22 10:17:49.081630,85.0,31.0,31.1,False,0.843,31.4,32.8,-0.703
2024-11-22 10:17:49.309147,86.0,31.0,31.1,False,0.882,31.4,32.7,-0.703
2024-11-22 10:17:49.509164,87.0,31.0,31.1,False,0.882,31.4,32.6,-0.703
2024-11-22 10:17:49.709533,88.0,31.0,31.1,False,0.897,31.4,32.3,-0.703
2024-11-22 10:17:49.909699,89.0,31.0,31.6,False,0.999,31.4,32.3,-0.703
2024-11-22 10:17:50.109815,90.0,31.0,31.6,False,0.969,31.4,32.0,-0.703
2024-11-22 10:17:50.290322,91.0,31.0,31.6,False,0.967,31.4,31.9,-0.703
2024-11-22 10:17:50.489744,92.0,31.0,31.1,False,0.965,31.4,31.7,-0.703
2024-11-22 10:17:50.672999,93.0,32.0,31.9,False,0.964,31.4,31.7,-0.703
2024-11-22 10:17:50.873549,94.0,32.0,31.9,False,0.906,31.4,31.9,-0.703
2024-11-22 10:17:51.075160,95.0,32.0,31.9,False,0.891,31.4,32.2,-0.703
2024-11-22 10:17:51.291185,96.0,32.0,32.5,False,0.888,31.4,32.5,-0.703
2024-11-22 10:17:51.484076,97.0,32.0,31.9,False,0.899,31.4,32.6,-0.703
2024-11-22 10:17:51.708273,98.0,31.0,30.9,False,0.964,31.4,32.6,-0.703
2024-11-22 10:17:51.901726,99.0,31.0,30.9,False,0.904,31.4,32.7,-0.703
2024-11-22 10:17:52.094777,100.0,31.0,30.9,False,0.892,31.4,32.8,-0.703
2024-11-22 10:17:52.349636,101.0,34.0,33.9,False,0.890,31.4,33.7,-0.703
2024-11-22 10:17:52.614869,102.0,34.0,33.9,False,0.812,31.4,34.0,-0.703
2024-11-22 10:17:52.822408,103.0,34.0,33.9,False,0.793,31.4,34.4,-0.703
2024-11-22 10:17:53.038574,104.0,34.0,33.9,False,0.793,31.4,34.8,-0.703
