timestamp,angle,raw_distance,filtered_distance,is_gap,confidence,baseline_distance,threshold,anomaly_score
2024-11-22 11:19:33.558665,80.0,54.0,32.5,True,0.353,27.9,28.1,-0.455
2024-11-22 11:19:33.765677,79.0,85.0,52.5,True,0.290,27.9,28.1,-0.455
2024-11-22 11:19:33.946383,78.0,134.0,78.1,True,0.224,27.9,28.6,-0.455
2024-11-22 11:19:34.173035,77.0,28.0,81.7,True,0.269,27.9,29.0,-0.455
2024-11-22 11:19:34.358756,76.0,22.0,26.8,False,0.517,27.9,29.1,-0.455
2024-11-22 11:19:34.539991,75.0,81.0,39.5,True,0.276,27.9,39.4,-0.455
2024-11-22 11:19:34.732669,76.0,81.0,69.6,False,0.542,27.9,69.4,-0.455
2024-11-22 11:19:34.909664,77.0,22.0,48.0,True,0.336,27.9,82.9,-0.455
2024-11-22 11:19:35.121062,78.0,24.0,45.8,True,0.321,27.9,86.0,-0.455
2024-11-22 11:19:35.320705,79.0,24.0,70.7,True,0.327,27.9,85.6,-0.455
2024-11-22 11:19:35.507184,80.0,24.0,49.0,True,0.402,27.9,84.0,-0.455
2024-11-22 11:19:35.696852,81.0,80.0,43.0,True,0.309,27.9,85.2,-0.455
2024-11-22 11:19:35.935034,82.0,80.0,58.4,True,0.336,27.9,77.5,-0.455
2024-11-22 11:19:36.145279,83.0,79.0,58.3,True,0.340,27.9,75.0,-0.455
2024-11-22 11:19:36.322381,84.0,28.0,49.6,True,0.333,27.9,73.9,-0.455
2024-11-22 11:19:36.523223,85.0,28.0,27.9,False,0.976,27.9,70.3,-0.455
2024-11-22 11:19:36.720891,86.0,28.0,27.9,False,0.976,27.9,69.9,-0.455
2024-11-22 11:19:36.896773,87.0,27.0,27.8,False,0.831,27.9,72.1,-0.455
2024-11-22 11:19:37.137581,88.0,28.0,27.5,False,0.836,27.9,74.0,-0.455
2024-11-22 11:19:37.310530,89.0,24.0,27.4,False,0.622,27.9,49.9,-0.455
2024-11-22 11:19:37.498235,90.0,24.0,25.9,False,0.774,27.9,31.8,-0.455
2024-11-22 11:19:37.682661,91.0,24.0,25.9,False,0.773,27.9,31.5,-0.455
2024-11-22 11:19:37.876851,92.0,23.0,25.7,False,0.706,27.9,30.7,-0.455
2024-11-22 11:19:38.064927,93.0,24.0,25.2,False,0.797,27.9,30.2,-0.455
2024-11-22 11:19:38.243331,94.0,24.0,25.5,False,0.788,27.9,29.0,-0.455
2024-11-22 11:19:38.423861,95.0,25.0,25.5,False,0.814,27.9,27.4,-0.455
2024-11-22 11:19:38.621326,96.0,24.0,26.1,False,0.745,27.9,26.6,-0.455
2024-11-22 11:19:38.803569,97.0,25.0,25.8,False,0.841,27.9,26.3,-0.455
2024-11-22 11:19:38.986110,98.0,27.0,26.5,False,0.756,27.9,26.3,-0.455
2024-11-22 11:19:39.187138,99.0,28.0,27.5,False,0.821,27.9,26.3,-0.455
2024-11-22 11:19:39.372134,100.0,28.0,28.0,False,0.997,27.9,26.6,-0.455
2024-11-22 11:19:39.555818,101.0,27.0,27.8,False,0.810,27.9,27.5,-0.455
2024-11-22 11:19:39.800527,102.0,27.0,27.1,False,0.921,27.9,28.2,-0.455
2024-11-22 11:19:39.986420,103.0,27.0,27.0,False,0.928,27.9,29.0,-0.455
2024-11-22 11:19:40.172183,104.0,27.0,27.3,False,0.922,27.9,28.4,-0.455
2024-11-22 11:19:40.356699,105.0,25.0,26.8,False,0.646,27.9,28.2,-0.455
2024-11-22 11:19:40.534379,104.0,25.0,25.5,False,0.864,27.9,28.2,-0.455
2024-11-22 11:19:40.734507,103.0,25.0,25.7,False,0.846,27.9,28.2,-0.455
2024-11-22 11:19:40.936245,102.0,25.0,25.7,False,0.861,27.9,28.7,-0.455
2024-11-22 11:19:41.152226,101.0,25.0,25.7,False,0.847,27.9,29.2,-0.455
2024-11-22 11:19:41.324067,100.0,27.0,26.3,False,0.711,27.9,28.2,-0.455
2024-11-22 11:19:41.517038,99.0,27.0,27.4,False,0.924,27.9,28.2,-0.455
2024-11-22 11:19:41.702961,98.0,28.0,27.4,False,0.889,27.9,28.3,-0.455
2024-11-22 11:19:41.902180,97.0,27.0,27.0,False,0.758,27.9,28.3,-0.455
2024-11-22 11:19:42.094350,96.0,27.0,25.8,False,0.898,27.9,26.8,-0.455
2024-11-22 11:19:42.276328,95.0,28.0,25.9,False,0.773,27.9,26.8,-0.455
2024-11-22 11:19:42.504488,94.0,26.0,26.0,False,0.708,27.9,26.9,-0.455
2024-11-22 11:19:42.687162,93.0,25.0,24.8,False,0.848,27.9,27.0,-0.455
2024-11-22 11:19:42.879584,92.0,24.0,24.1,False,0.777,27.9,27.5,-0.455
2024-11-22 11:19:43.064205,91.0,24.0,23.7,False,0.887,27.9,28.5,-0.455
2024-11-22 11:19:43.255531,90.0,23.0,24.0,False,0.785,27.9,28.8,-0.455
2024-11-22 11:19:43.440163,89.0,24.0,23.7,False,0.857,27.9,28.1,-0.455
2024-11-22 11:19:43.636778,88.0,24.0,24.8,False,0.804,27.9,27.1,-0.455
2024-11-22 11:19:43.822835,87.0,24.0,25.7,False,0.791,27.9,27.0,-0.455
2024-11-22 11:19:44.009614,86.0,24.0,25.6,False,0.787,27.9,26.7,-0.455
2024-11-22 11:19:44.193546,85.0,23.0,25.7,False,0.722,27.9,26.6,-0.455
2024-11-22 11:19:44.388485,84.0,28.0,26.1,False,0.600,27.9,26.7,-0.455
2024-11-22 11:19:44.571548,83.0,28.0,37.4,True,0.403,27.9,27.4,-0.455
2024-11-22 11:19:44.770282,82.0,28.0,52.9,False,0.411,27.9,28.4,-0.455
2024-11-22 11:19:44.946445,81.0,28.0,53.2,False,0.409,27.9,28.8,-0.455
2024-11-22 11:19:45.185515,80.0,28.0,44.8,True,0.392,27.9,29.6,-0.455
2024-11-22 11:19:45.386921,79.0,28.0,32.9,False,0.574,27.9,40.5,-0.455
2024-11-22 11:19:45.571790,78.0,79.0,46.9,True,0.290,27.9,54.6,-0.455
2024-11-22 11:19:45.775984,77.0,79.0,64.2,False,0.394,27.9,68.6,-0.455
2024-11-22 11:19:45.978551,76.0,25.0,55.3,False,0.331,27.9,67.5,-0.455
2024-11-22 11:19:46.171412,75.0,24.0,52.0,False,0.366,27.9,62.3,-0.455
2024-11-22 11:19:46.371702,76.0,23.0,44.5,True,0.413,27.9,60.7,-0.455
2024-11-22 11:19:46.571300,77.0,23.0,38.6,False,0.515,27.9,62.3,-0.455
2024-11-22 11:19:46.763843,78.0,24.0,49.3,False,0.379,27.9,62.3,-0.455
2024-11-22 11:19:46.959401,79.0,24.0,40.8,True,0.410,27.9,62.8,-0.455
2024-11-22 11:19:47.152462,80.0,24.0,25.7,False,0.709,27.9,66.3,-0.455
2024-11-22 11:19:47.339404,81.0,79.0,37.0,True,0.303,27.9,63.6,-0.455
2024-11-22 11:19:47.527190,82.0,79.0,63.6,False,0.375,27.9,65.0,-0.455
2024-11-22 11:19:47.727678,83.0,28.0,56.4,True,0.320,27.9,63.9,-0.455
2024-11-22 11:19:47.960815,84.0,28.0,33.4,False,0.546,27.9,61.0,-0.455
2024-11-22 11:19:48.143809,85.0,28.0,27.2,False,0.751,27.9,60.8,-0.455
2024-11-22 11:19:48.335905,86.0,27.0,25.8,False,0.908,27.9,62.0,-0.455
2024-11-22 11:19:48.520831,87.0,28.0,25.8,False,0.798,27.9,45.4,-0.455
2024-11-22 11:19:48.706544,88.0,28.0,26.1,False,0.843,27.9,34.6,-0.455
2024-11-22 11:19:48.895974,89.0,24.0,25.4,False,0.609,27.9,29.7,-0.455
2024-11-22 11:19:49.093747,90.0,24.0,23.3,False,0.909,27.9,32.4,-0.455
2024-11-22 11:19:49.277639,91.0,24.0,23.2,False,0.910,27.9,31.0,-0.455
2024-11-22 11:19:49.470349,92.0,24.0,23.4,False,0.951,27.9,30.2,-0.455
2024-11-22 11:19:49.655088,93.0,24.0,23.5,False,0.892,27.9,29.6,-0.455
2024-11-22 11:19:49.854693,94.0,24.0,24.0,False,0.907,27.9,26.7,-0.455
2024-11-22 11:19:50.037065,95.0,25.0,24.9,False,0.759,27.9,26.5,-0.455
