timestamp,angle,raw_distance,filtered_distance,is_gap,confidence,baseline_distance,threshold,anomaly_score,validation_score,precision,recall,f1_score,temporal_consistency,spatial_consistency,cluster_confidence,prediction_confidence
2024-11-22 16:15:58.976571,101.0,74.0,73.8,False,0.903,74.8,8.0,-0.602,0.000,0.000,0.000,0.000,0.950,0.000,0.745,0.500
2024-11-22 16:15:59.191995,102.0,74.0,74.0,False,0.902,74.8,8.0,-0.602,0.000,0.000,0.000,0.000,0.926,0.000,0.744,0.500
2024-11-22 16:15:59.493168,103.0,27.0,58.4,True,0.300,74.8,74.4,-0.602,0.000,0.000,0.000,0.000,0.662,0.000,0.481,0.500
2024-11-22 16:15:59.790926,104.0,74.0,42.6,True,0.442,74.8,83.7,-0.602,0.000,0.000,0.000,0.000,0.497,0.000,0.427,0.500
2024-11-22 16:16:00.116238,105.0,27.0,58.4,True,0.430,74.8,93.1,-0.602,0.000,0.000,0.000,0.000,0.456,0.000,0.440,0.500
2024-11-22 16:16:00.417209,104.0,73.0,42.5,True,0.437,74.8,93.0,-0.602,0.000,0.000,0.000,0.000,0.481,0.000,0.426,0.500
2024-11-22 16:16:00.717475,103.0,27.0,57.9,True,0.398,74.8,92.4,-0.602,0.000,0.000,0.000,0.000,0.463,0.000,0.442,0.500
2024-11-22 16:16:01.055646,102.0,28.0,30.1,False,0.584,74.8,91.9,-0.602,0.000,0.000,0.000,0.000,0.493,0.000,0.569,0.500
2024-11-22 16:16:01.399123,101.0,73.0,44.4,True,0.477,74.8,89.7,-0.602,0.000,0.000,0.000,0.000,0.492,0.000,0.435,0.500
2024-11-22 16:16:01.747394,100.0,74.0,73.4,False,0.807,74.8,91.9,-0.602,0.000,0.000,0.000,0.000,0.614,0.000,0.672,0.500
2024-11-22 16:16:02.328215,99.0,27.0,58.4,True,0.390,74.8,89.5,-0.602,0.000,0.000,0.000,0.000,0.560,0.000,0.461,0.500
2024-11-22 16:16:02.736773,98.0,74.0,42.6,True,0.442,74.8,68.0,-0.602,0.000,0.000,0.000,0.000,0.517,0.000,0.431,0.500
2024-11-22 16:16:03.110816,97.0,20.0,56.0,True,0.408,74.8,67.5,-0.602,0.000,0.000,0.000,0.000,0.456,0.000,0.427,0.500
2024-11-22 16:16:03.467009,96.0,20.0,20.0,False,0.861,74.8,74.5,-0.602,0.000,0.000,0.000,0.000,0.588,0.000,0.607,0.500
2024-11-22 16:16:03.864530,95.0,20.0,20.0,False,0.872,74.8,75.1,-0.602,0.000,0.000,0.000,0.000,0.749,0.000,0.639,0.500
2024-11-22 16:16:04.249654,94.0,20.0,20.0,False,0.859,74.8,77.2,-0.602,0.000,0.000,0.000,0.000,0.865,0.000,0.662,0.500
2024-11-22 16:16:04.647904,93.0,74.0,38.0,True,0.368,74.8,78.6,-0.602,0.000,0.000,0.000,0.000,0.661,0.000,0.445,0.500
2024-11-22 16:16:05.067305,92.0,74.0,74.0,False,0.878,74.8,86.3,-0.602,0.000,0.000,0.000,0.000,0.641,0.000,0.686,0.500
2024-11-22 16:16:05.521151,91.0,74.0,74.2,False,0.913,74.8,103.8,-0.602,0.000,0.000,0.000,0.000,0.755,0.000,0.706,0.500
2024-11-22 16:16:05.936679,90.0,75.0,74.7,False,0.846,74.8,104.6,-0.602,0.000,0.000,0.000,0.000,0.868,0.000,0.728,0.500
2024-11-22 16:16:06.383031,89.0,74.0,74.9,False,0.814,74.8,97.0,-0.602,0.000,0.000,0.000,0.000,0.847,0.000,0.717,0.500
2024-11-22 16:16:06.824609,88.0,75.0,74.4,False,0.789,74.8,86.8,-0.602,0.000,0.000,0.000,0.000,0.821,0.000,0.715,0.500
2024-11-22 16:16:07.300501,87.0,75.0,75.0,False,0.845,74.8,75.8,-0.602,0.000,0.000,0.000,0.000,0.825,0.000,0.725,0.500
2024-11-22 16:16:07.767303,86.0,73.0,74.3,False,0.717,74.8,75.5,-0.602,0.000,0.000,0.000,0.000,0.772,0.000,0.695,0.500
2024-11-22 16:16:08.247985,85.0,75.0,73.7,False,0.699,74.8,75.3,-0.602,0.000,0.000,0.000,0.000,0.725,0.000,0.684,0.500
2024-11-22 16:16:08.752740,84.0,75.0,75.0,False,0.824,74.8,75.3,-0.602,0.000,0.000,0.000,0.000,0.752,0.000,0.710,0.500
2024-11-22 16:16:09.313518,83.0,54.0,68.0,True,0.403,74.8,75.3,-0.602,0.000,0.000,0.000,0.000,0.628,0.000,0.549,0.500
2024-11-22 16:16:09.851776,82.0,75.0,61.0,True,0.509,74.8,75.5,-0.602,0.000,0.000,0.000,0.000,0.544,0.000,0.521,0.500
2024-11-22 16:16:10.377564,81.0,168.0,105.9,True,0.347,74.8,75.7,-0.602,0.000,0.000,0.000,0.000,0.441,0.000,0.374,0.500
2024-11-22 16:16:10.933913,80.0,295.0,210.2,True,0.300,74.8,76.1,-0.602,0.000,0.000,0.000,0.000,0.364,0.000,0.275,0.500
2024-11-22 16:16:11.488873,79.0,291.0,293.7,True,0.563,74.8,83.7,-0.602,0.000,0.000,0.000,0.000,0.376,0.000,0.463,0.500
2024-11-22 16:16:11.936800,78.0,290.0,290.6,True,0.645,74.8,98.4,-0.602,0.000,0.000,0.000,0.000,0.486,0.000,0.511,0.500
